COD_DPTO,NOMBRE DPTO,COD_MPIO,NOMBRE MPIO,SEXOS,ANO,Población
5,Antioquia,05001,Medellín,AMBOS SEXOS,2018,"2,427,129"
5,Antioquia,05001,Medellín,HOMBRES,2018,"1,140,658"
5,Antioquia,05001,Medellín,MUJERES,2018,"1,286,471"
5,Antioquia,05002,Abejorral,AMBOS SEXOS,2018,"20,367"
5,Antioquia,05002,Abejorral,HOMBRES,2018,"10,534"
5,Antioquia,05002,Abejorral,MUJERES,2018,"9,833"
5,Antioquia,05004,Abriaquí,AMBOS SEXOS,2018,"2,695"
5,Antioquia,05004,Abriaquí,HOMBRES,2018,"1,452"
5,Antioquia,05004,Abriaquí,MUJERES,2018,"1,243"
5,Antioquia,05021,Alejandría,AMBOS SEXOS,2018,"4,657"
5,Antioquia,05021,Alejandría,HOMBRES,2018,"2,320"
5,Antioquia,05021,Alejandría,MUJERES,2018,"2,337"
5,Antioquia,05030,Amagá,AMBOS SEXOS,2018,"30,227"
5,Antioquia,05030,Amagá,HOMBRES,2018,"14,862"
5,Antioquia,05030,Amagá,MUJERES,2018,"15,365"
5,Antioquia,05031,Amalfi,AMBOS SEXOS,2018,"25,962"
5,Antioquia,05031,Amalfi,HOMBRES,2018,"13,028"
5,Antioquia,05031,Amalfi,MUJERES,2018,"12,934"
5,Antioquia,05034,Andes,AMBOS SEXOS,2018,"43,269"
5,Antioquia,05034,Andes,HOMBRES,2018,"22,342"
5,Antioquia,05034,Andes,MUJERES,2018,"20,927"
5,Antioquia,05036,Angelópolis,AMBOS SEXOS,2018,"5,756"
5,Antioquia,05036,Angelópolis,HOMBRES,2018,"2,884"
5,Antioquia,05036,Angelópolis,MUJERES,2018,"2,872"
5,Antioquia,05038,Angostura,AMBOS SEXOS,2018,"11,437"
5,Antioquia,05038,Angostura,HOMBRES,2018,"5,762"
5,Antioquia,05038,Angostura,MUJERES,2018,"5,675"
5,Antioquia,05040,Anorí,AMBOS SEXOS,2018,"18,321"
5,Antioquia,05040,Anorí,HOMBRES,2018,"9,513"
5,Antioquia,05040,Anorí,MUJERES,2018,"8,808"
5,Antioquia,05042,Santafé de Antioquia,AMBOS SEXOS,2018,"26,164"
5,Antioquia,05042,Santafé de Antioquia,HOMBRES,2018,"13,005"
5,Antioquia,05042,Santafé de Antioquia,MUJERES,2018,"13,159"
5,Antioquia,05044,Anza,AMBOS SEXOS,2018,"7,010"
5,Antioquia,05044,Anza,HOMBRES,2018,"3,603"
5,Antioquia,05044,Anza,MUJERES,2018,"3,407"
5,Antioquia,05045,Apartadó,AMBOS SEXOS,2018,"121,003"
5,Antioquia,05045,Apartadó,HOMBRES,2018,"59,413"
5,Antioquia,05045,Apartadó,MUJERES,2018,"61,590"
5,Antioquia,05051,Arboletes,AMBOS SEXOS,2018,"29,295"
5,Antioquia,05051,Arboletes,HOMBRES,2018,"14,676"
5,Antioquia,05051,Arboletes,MUJERES,2018,"14,619"
5,Antioquia,05055,Argelia,AMBOS SEXOS,2018,"7,689"
5,Antioquia,05055,Argelia,HOMBRES,2018,"3,958"
5,Antioquia,05055,Argelia,MUJERES,2018,"3,731"
5,Antioquia,05059,Armenia,AMBOS SEXOS,2018,"5,139"
5,Antioquia,05059,Armenia,HOMBRES,2018,"2,561"
5,Antioquia,05059,Armenia,MUJERES,2018,"2,578"
5,Antioquia,05079,Barbosa,AMBOS SEXOS,2018,"51,969"
5,Antioquia,05079,Barbosa,HOMBRES,2018,"25,758"
5,Antioquia,05079,Barbosa,MUJERES,2018,"26,211"
5,Antioquia,05086,Belmira,AMBOS SEXOS,2018,"6,000"
5,Antioquia,05086,Belmira,HOMBRES,2018,"3,028"
5,Antioquia,05086,Belmira,MUJERES,2018,"2,972"
5,Antioquia,05088,Bello,AMBOS SEXOS,2018,"522,264"
